,Power,Var2,Var3,Eta
last_value,0.0,0.0072,0.0533,0.0
MaxScala,400.0,3.0,2.0,100.0
Media,0.039372789063838474,0.9787,1.41,1.0256
Dev,0.039372789063838474,0.983,0.04,1.0256
