,Power,Var2,Var3,Eta
last_value,27.1513,0.0118945,31.0213,0.7355733419497208
MaxScala,248.0,0.08,50.0,100.0
Media,26.35067130134908,0.012,31.5,0.713882994617272
Dev,2.0488999386537827,0.015,0.9,0.05550806684011966
