,Power,Var2,Var3,Eta
last_value,134.0685,0.06109676,27.29527,0.8036421619163047
MaxScala,260.0,0.08,40.0,100.0
Media,131.21551895681844,0.0694,27.1,0.786540636550923
Dev,3.1657105473400784,0.015,0.5,0.01897610899104285
