,Power,Var2,Var3,Eta
last_value,132.5985,0.06123621,27.10996,0.7984412542065656
MaxScala,260.0,0.08,40.0,100.0
Media,130.93714113273413,0.0694,27.1,0.788437389474559
Dev,4.497145045624028,0.015,0.5,0.02707953808358987
