,Power,Var2,Var3,Eta
last_value,58.469,0.02729564,27.19637,0.7873412057019354
MaxScala,100.0,0.03,40.0,100.0
Media,51.909236085502876,0.026,26.9,0.69900768828997
Dev,1.0909326154563714,0.006,0.5,0.014690454784466733
