TAG,Name,last_power,last_eta,state,Energy
PAR,Partitore,0.0,0.0,A,553.6998721212121
TF,Torrino Foresta,207.7242,0.7367801241890348,O,2268.944710840909
ST,San Teodoro,62.14004,0.7735022691202638,O,1297.1098210142045
PG,Ponte Giurino,49.9579,0.797750568355772,O,545.172173433712
ZG,Zilio Group,33336.2,,O,31387.877449680964
